TRIP_ID,ORDER_ID,AGENT_ID,PICKUP_TIME,DROP_TIME,DISTANCE_KM,ESTIMATED_TIME_MIN,ACTUAL_TIME_MIN,SLA_BREACH_FLAG
1,1,47,2024-05-12 07:58:00,2024-05-12 08:14:00,6.69,35,16,0
2,2,265,2023-02-11 13:25:00,2023-02-11 13:56:00,3.91,35,31,0
3,3,415,2024-05-28 23:03:00,2024-05-28 23:36:00,10.78,35,33,0
4,4,472,2024-05-04 09:51:00,2024-05-04 10:21:00,3.71,25,30,0
5,5,559,2024-12-10 11:07:00,2024-12-10 11:59:00,10.37,30,52,1
6,6,249,2024-03-23 14:30:00,2024-03-23 14:36:00,11.48,30,6,0
7,7,781,2024-01-10 08:30:00,2024-01-10 08:37:00,11.27,35,7,0
8,8,603,2024-11-07 19:36:00,2024-11-07 20:02:00,4.66,30,26,0
9,10,356,2024-12-30 06:27:00,2024-12-30 07:20:00,3.09,25,53,1
10,11,269,2023-11-20 07:26:00,2023-11-20 08:03:00,11.01,30,37,1
11,12,451,2023-06-25 05:06:00,2023-06-25 05:47:00,7.95,35,41,1
12,13,189,2023-03-15 06:22:00,2023-03-15 07:12:00,6.86,35,50,1
13,14,362,2023-08-24 04:12:00,2023-08-24 05:11:00,10.7,25,59,1
14,15,243,2024-06-01 14:42:00,2024-06-01 15:09:00,11.64,35,27,0
15,16,64,2024-06-09 17:43:00,2024-06-09 18:04:00,11.61,20,21,0
16,18,228,2023-10-14 04:16:00,2023-10-14 04:30:00,2.04,25,14,0
17,19,745,2023-01-02 07:43:00,2023-01-02 08:07:00,5.28,35,24,0
18,20,660,2024-07-29 08:58:00,2024-07-29 09:58:00,3.11,20,60,1
19,21,545,2023-09-15 13:10:00,2023-09-15 13:56:00,7.98,20,46,1
20,22,473,2024-02-16 08:52:00,2024-02-16 09:41:00,7.45,25,49,1
21,23,779,2023-05-08 08:10:00,2023-05-08 08:18:00,7.69,20,8,0
22,24,589,2023-08-03 14:16:00,2023-08-03 14:40:00,10.1,25,24,0
23,25,343,2024-11-29 13:41:00,2024-11-29 14:01:00,8.42,20,20,0
24,26,600,2024-02-07 01:56:00,2024-02-07 02:41:00,3.26,20,45,1
25,27,311,2023-04-15 01:13:00,2023-04-15 01:52:00,9.75,35,39,0
26,28,385,2023-03-25 20:51:00,2023-03-25 21:31:00,4.27,20,40,1
27,29,536,2023-10-18 00:42:00,2023-10-18 01:29:00,3.52,20,47,1
28,31,504,2024-04-12 12:52:00,2024-04-12 13:41:00,2.62,25,49,1
29,32,124,2024-11-03 11:40:00,2024-11-03 12:08:00,9.7,20,28,1
30,34,19,2024-03-12 20:02:00,2024-03-12 20:28:00,2.67,25,26,0
31,35,142,2024-12-16 15:23:00,2024-12-16 15:50:00,11.32,20,27,1
32,37,135,2024-04-10 21:27:00,2024-04-10 22:03:00,3.53,35,36,0
33,38,184,2024-10-25 10:41:00,2024-10-25 11:12:00,11.68,25,31,1
34,39,449,2023-05-25 08:24:00,2023-05-25 08:55:00,1.79,30,31,0
35,40,633,2024-11-01 22:47:00,2024-11-01 23:25:00,6.31,25,38,1
36,41,86,2023-03-09 22:20:00,2023-03-09 22:31:00,9.5,20,11,0
37,43,123,2023-09-02 04:03:00,2023-09-02 04:41:00,3.54,20,38,1
38,46,780,2023-07-07 19:57:00,2023-07-07 20:26:00,8.49,25,29,0
39,48,151,2023-12-26 22:27:00,2023-12-26 23:03:00,1.55,25,36,1
40,52,617,2023-06-16 17:03:00,2023-06-16 17:32:00,11.18,35,29,0
41,53,746,2024-02-23 14:09:00,2024-02-23 14:19:00,3.48,30,10,0
42,54,109,2024-07-13 16:22:00,2024-07-13 16:48:00,7.75,25,26,0
43,55,212,2024-11-20 01:33:00,2024-11-20 02:09:00,1.66,20,36,1
44,56,150,2024-03-29 08:59:00,2024-03-29 09:12:00,11.44,30,13,0
45,57,234,2024-02-27 17:43:00,2024-02-27 18:48:00,11.17,30,65,1
46,58,209,2023-11-11 19:27:00,2023-11-11 19:47:00,11.3,35,20,0
47,59,279,2023-01-21 16:20:00,2023-01-21 16:59:00,8.3,20,39,1
48,60,685,2024-01-12 03:26:00,2024-01-12 03:38:00,5.92,25,12,0
49,61,132,2024-02-26 02:42:00,2024-02-26 03:29:00,3.93,30,47,1
50,62,477,2024-06-06 09:12:00,2024-06-06 09:22:00,4.27,20,10,0
51,63,492,2023-04-20 11:30:00,2023-04-20 12:04:00,2.5,30,34,0
52,66,756,2023-03-25 21:46:00,2023-03-25 22:09:00,9.88,35,23,0
53,67,725,2024-05-20 21:57:00,2024-05-20 22:12:00,4.58,25,15,0
54,68,492,2024-10-25 22:49:00,2024-10-25 23:15:00,2.93,35,26,0
55,69,452,2024-03-31 06:09:00,2024-03-31 06:54:00,6.63,30,45,1
56,70,376,2024-08-23 17:22:00,2024-08-23 17:37:00,3.61,20,15,0
57,72,26,2024-10-28 23:20:00,2024-10-28 23:37:00,6.34,25,17,0
58,73,167,2024-01-24 11:42:00,2024-01-24 12:30:00,1.98,20,48,1
59,74,373,2024-03-05 23:40:00,2024-03-06 00:35:00,9.29,30,55,1
60,76,674,2024-08-06 22:44:00,2024-08-06 22:50:00,7.3,20,6,0
61,77,128,2024-02-21 06:06:00,2024-02-21 06:25:00,1.61,20,19,0
62,78,210,2023-09-01 04:48:00,2023-09-01 05:17:00,7.9,35,29,0
63,79,217,2023-09-24 09:35:00,2023-09-24 10:14:00,10.72,30,39,1
64,80,157,2023-06-04 14:12:00,2023-06-04 14:42:00,1.54,35,30,0
65,83,677,2024-04-08 13:33:00,2024-04-08 14:17:00,6.83,30,44,1
66,84,260,2024-10-30 14:29:00,2024-10-30 14:50:00,11.67,30,21,0
67,85,33,2023-04-11 20:33:00,2023-04-11 21:07:00,4.49,25,34,1
68,86,100,2024-07-24 19:10:00,2024-07-24 19:48:00,8.91,25,38,1
69,87,531,2024-09-04 10:09:00,2024-09-04 10:57:00,10.72,25,48,1
70,88,355,2024-02-28 12:16:00,2024-02-28 12:35:00,11.77,30,19,0
71,90,795,2024-06-06 23:30:00,2024-06-06 23:50:00,6.58,35,20,0
72,91,682,2024-11-03 09:48:00,2024-11-03 10:11:00,2.38,35,23,0
73,92,9,2023-06-27 03:21:00,2023-06-27 04:06:00,10.06,20,45,1
74,93,94,2023-08-05 04:17:00,2023-08-05 05:07:00,4.9,20,50,1
75,94,471,2023-11-12 13:31:00,2023-11-12 14:00:00,9.17,25,29,0
76,95,734,2024-05-28 06:08:00,2024-05-28 06:23:00,10.96,20,15,0
77,96,22,2024-12-19 00:28:00,2024-12-19 01:28:00,11.88,30,60,1
78,98,473,2023-11-02 18:15:00,2023-11-02 18:50:00,2.13,25,35,1
79,99,160,2023-09-15 12:42:00,2023-09-15 13:32:00,2.68,35,50,1
80,101,302,2024-09-23 04:13:00,2024-09-23 04:46:00,5.85,35,33,0
81,102,409,2024-02-22 01:39:00,2024-02-22 01:44:00,11.36,30,5,0
82,103,102,2024-01-31 01:15:00,2024-01-31 02:06:00,10.61,35,51,1
83,104,144,2023-04-20 15:11:00,2023-04-20 15:56:00,8.02,35,45,1
84,105,461,2023-06-29 07:03:00,2023-06-29 07:19:00,4.22,25,16,0
85,106,177,2023-12-21 07:26:00,2023-12-21 07:44:00,7.48,30,18,0
86,107,323,2023-12-15 17:30:00,2023-12-15 17:54:00,10.75,20,24,0
87,109,656,2024-08-16 13:42:00,2024-08-16 14:21:00,9.27,35,39,0
88,110,536,2023-04-19 16:07:00,2023-04-19 17:02:00,10.18,20,55,1
89,112,395,2023-08-23 20:40:00,2023-08-23 21:03:00,2.83,30,23,0
90,113,620,2023-08-15 21:05:00,2023-08-15 21:25:00,2.71,35,20,0
91,115,111,2024-11-12 17:52:00,2024-11-12 18:02:00,10.49,20,10,0
92,116,602,2023-08-17 15:17:00,2023-08-17 15:51:00,7.23,35,34,0
93,117,666,2023-04-20 05:12:00,2023-04-20 06:01:00,10.81,35,49,1
94,118,36,2023-02-22 14:23:00,2023-02-22 14:48:00,6.02,20,25,0
95,119,604,2024-03-30 13:11:00,2024-03-30 13:17:00,2.61,35,6,0
96,120,251,2023-06-08 23:00:00,2023-06-08 23:17:00,11.66,25,17,0
97,121,138,2023-05-28 00:48:00,2023-05-28 01:15:00,5.96,30,27,0
98,122,224,2023-11-08 08:55:00,2023-11-08 09:16:00,10.77,25,21,0
99,123,159,2024-02-12 11:12:00,2024-02-12 11:28:00,4.01,35,16,0
100,124,478,2023-01-17 01:42:00,2023-01-17 01:52:00,2.9,30,10,0
101,125,604,2024-01-06 22:15:00,2024-01-06 22:36:00,4.55,25,21,0
102,126,85,2023-01-11 04:51:00,2023-01-11 05:37:00,11.46,35,46,1
103,127,610,2023-02-02 18:31:00,2023-02-02 18:56:00,7.75,25,25,0
104,130,199,2023-05-25 22:28:00,2023-05-25 22:34:00,6.49,25,6,0
105,131,346,2023-03-25 04:42:00,2023-03-25 05:44:00,10.84,25,62,1
106,133,121,2024-08-08 05:37:00,2024-08-08 06:23:00,9.36,20,46,1
107,134,369,2023-07-28 20:32:00,2023-07-28 20:39:00,10.21,30,7,0
108,135,440,2023-01-12 11:24:00,2023-01-12 11:26:00,8.12,25,2,0
109,136,273,2024-02-07 02:45:00,2024-02-07 03:27:00,2.65,20,42,1
110,137,766,2023-12-27 07:42:00,2023-12-27 07:50:00,1.84,25,8,0
111,138,293,2023-07-19 23:36:00,2023-07-19 23:58:00,7.03,20,22,0
112,140,548,2024-03-08 22:05:00,2024-03-08 22:27:00,8.18,20,22,0
113,141,698,2023-04-25 21:48:00,2023-04-25 22:13:00,3.02,35,25,0
114,142,166,2023-06-29 08:39:00,2023-06-29 08:57:00,6.81,20,18,0
115,143,413,2024-06-12 04:30:00,2024-06-12 05:19:00,4.45,25,49,1
116,144,731,2023-10-11 10:25:00,2023-10-11 11:15:00,3.76,20,50,1
117,145,501,2024-05-17 14:47:00,2024-05-17 15:36:00,8.49,30,49,1
118,146,215,2024-09-25 19:22:00,2024-09-25 19:53:00,11.49,30,31,0
119,147,319,2023-05-18 17:05:00,2023-05-18 17:15:00,10.47,20,10,0
120,150,682,2024-10-19 10:03:00,2024-10-19 10:33:00,8.99,25,30,0
121,152,608,2023-12-01 16:58:00,2023-12-01 17:36:00,7.59,30,38,1
122,153,602,2023-05-30 05:28:00,2023-05-30 05:43:00,2.53,25,15,0
123,154,315,2023-05-23 11:21:00,2023-05-23 11:52:00,10.5,30,31,0
124,155,719,2024-10-19 02:27:00,2024-10-19 03:12:00,9.98,20,45,1
125,156,202,2024-10-13 11:08:00,2024-10-13 11:28:00,4.27,20,20,0
126,158,672,2024-07-03 12:44:00,2024-07-03 13:13:00,8.68,30,29,0
127,164,221,2023-11-14 10:21:00,2023-11-14 10:32:00,2.08,30,11,0
128,165,396,2024-09-19 21:03:00,2024-09-19 21:19:00,9.15,25,16,0
129,166,202,2023-07-30 03:17:00,2023-07-30 04:15:00,9.34,30,58,1
130,167,265,2023-02-25 13:26:00,2023-02-25 13:54:00,3.66,35,28,0
131,168,288,2024-05-06 11:36:00,2024-05-06 12:01:00,11.36,30,25,0
132,169,579,2024-11-06 20:08:00,2024-11-06 20:35:00,7.48,20,27,1
133,172,26,2024-04-08 11:07:00,2024-04-08 11:56:00,4.34,20,49,1
134,175,376,2023-07-14 22:28:00,2023-07-14 22:41:00,2.88,35,13,0
135,176,779,2024-06-12 16:21:00,2024-06-12 17:04:00,6.03,20,43,1
136,178,324,2024-04-03 13:39:00,2024-04-03 14:35:00,10.09,25,56,1
137,179,396,2023-09-20 14:06:00,2023-09-20 15:01:00,5.36,35,55,1
138,180,771,2024-05-23 02:39:00,2024-05-23 03:22:00,3.54,20,43,1
139,181,689,2024-06-01 12:20:00,2024-06-01 12:42:00,7.01,30,22,0
140,182,749,2023-04-22 17:44:00,2023-04-22 18:32:00,7.21,20,48,1
141,183,245,2024-01-27 00:36:00,2024-01-27 00:43:00,11.72,35,7,0
142,184,179,2024-06-07 00:03:00,2024-06-07 00:47:00,5.42,30,44,1
143,185,687,2024-04-22 10:56:00,2024-04-22 11:31:00,3.43,25,35,1
144,187,291,2024-05-03 22:31:00,2024-05-03 22:56:00,5.89,30,25,0
145,188,754,2023-02-22 00:41:00,2023-02-22 01:01:00,3.22,20,20,0
146,189,767,2023-12-08 21:47:00,2023-12-08 22:31:00,10.37,30,44,1
147,191,636,2024-05-03 16:53:00,2024-05-03 17:33:00,11.83,20,40,1
148,192,685,2023-03-07 01:50:00,2023-03-07 02:31:00,10.03,30,41,1
149,193,388,2023-02-17 15:19:00,2023-02-17 16:12:00,2.08,25,53,1
150,194,16,2024-06-16 11:46:00,2024-06-16 12:04:00,8.88,35,18,0
151,195,18,2024-01-30 05:12:00,2024-01-30 05:34:00,9.29,25,22,0
152,196,798,2023-05-30 05:37:00,2023-05-30 05:56:00,11.82,20,19,0
153,197,361,2024-11-14 02:12:00,2024-11-14 02:23:00,3.05,20,11,0
154,198,20,2024-09-04 20:38:00,2024-09-04 21:01:00,9.54,30,23,0
155,199,512,2023-04-03 13:28:00,2023-04-03 14:14:00,3.74,30,46,1
156,202,546,2024-08-19 19:31:00,2024-08-19 19:51:00,3.99,20,20,0
157,203,718,2023-05-16 11:56:00,2023-05-16 12:11:00,11.35,25,15,0
158,204,694,2024-09-11 10:46:00,2024-09-11 11:49:00,7.83,20,63,1
159,205,224,2024-04-17 15:41:00,2024-04-17 16:05:00,11.03,25,24,0
160,207,509,2024-12-10 22:54:00,2024-12-10 23:08:00,6.59,20,14,0
161,208,255,2023-07-01 02:17:00,2023-07-01 02:37:00,5.48,20,20,0
162,209,770,2023-02-23 16:25:00,2023-02-23 17:10:00,1.99,35,45,1
163,210,7,2024-11-19 20:22:00,2024-11-19 21:18:00,5.77,35,56,1
164,214,604,2023-04-21 07:38:00,2023-04-21 07:50:00,11.78,30,12,0
165,217,620,2023-10-26 06:26:00,2023-10-26 06:48:00,1.07,20,22,0
166,218,463,2024-03-29 22:07:00,2024-03-29 22:51:00,2.65,35,44,1
167,219,99,2024-03-10 18:46:00,2024-03-10 19:19:00,11.22,25,33,1
168,220,673,2024-03-05 13:13:00,2024-03-05 13:31:00,9.01,35,18,0
169,221,538,2024-06-17 17:16:00,2024-06-17 17:55:00,11.82,20,39,1
170,222,398,2023-07-28 16:49:00,2023-07-28 17:27:00,8.62,25,38,1
171,223,24,2023-12-19 18:21:00,2023-12-19 18:43:00,7.84,35,22,0
172,224,396,2023-09-18 01:17:00,2023-09-18 01:38:00,4.05,25,21,0
173,225,525,2024-03-23 23:29:00,2024-03-24 00:20:00,3.24,30,51,1
174,226,704,2024-09-15 16:51:00,2024-09-15 17:26:00,11.43,25,35,1
175,227,465,2024-04-27 19:04:00,2024-04-27 19:25:00,6.09,20,21,0
176,231,524,2023-07-28 00:09:00,2023-07-28 00:33:00,7.63,35,24,0
177,232,178,2024-12-10 08:46:00,2024-12-10 09:12:00,9.32,30,26,0
178,233,653,2023-02-18 15:00:00,2023-02-18 15:22:00,4.92,30,22,0
179,234,781,2024-12-04 14:27:00,2024-12-04 14:39:00,1.04,20,12,0
180,236,428,2024-09-09 15:21:00,2024-09-09 16:07:00,1.99,25,46,1
181,237,88,2023-09-21 06:10:00,2023-09-21 06:15:00,6.76,20,5,0
182,238,332,2024-09-26 15:38:00,2024-09-26 16:17:00,1.56,20,39,1
183,239,475,2024-11-04 19:16:00,2024-11-04 19:34:00,1.65,35,18,0
184,240,407,2023-09-04 16:06:00,2023-09-04 17:03:00,9.48,25,57,1
185,241,171,2023-05-17 02:36:00,2023-05-17 03:19:00,5.66,20,43,1
186,242,241,2024-05-08 10:02:00,2024-05-08 10:22:00,1.68,30,20,0
187,244,665,2024-10-04 20:15:00,2024-10-04 20:37:00,2.54,25,22,0
188,248,664,2024-02-01 17:00:00,2024-02-01 17:17:00,11.92,35,17,0
189,249,702,2024-02-19 17:01:00,2024-02-19 17:28:00,1.22,25,27,0
190,250,758,2024-10-14 13:04:00,2024-10-14 14:09:00,1.38,30,65,1
191,251,229,2024-08-01 05:43:00,2024-08-01 06:27:00,7.64,30,44,1
192,252,669,2023-07-19 11:01:00,2023-07-19 11:24:00,8.2,20,23,0
193,253,45,2023-11-22 13:11:00,2023-11-22 14:04:00,1.65,20,53,1
194,254,394,2024-07-13 06:27:00,2024-07-13 06:51:00,9.04,20,24,0
195,255,299,2023-04-23 12:16:00,2023-04-23 12:59:00,5.86,35,43,1
196,256,168,2024-01-25 02:54:00,2024-01-25 03:31:00,11.77,35,37,0
197,257,263,2024-09-07 07:36:00,2024-09-07 08:28:00,3.69,35,52,1
198,262,163,2023-12-24 21:08:00,2023-12-24 21:26:00,1.02,30,18,0
199,263,188,2023-06-07 22:49:00,2023-06-07 23:38:00,6.34,30,49,1
200,264,146,2024-11-03 04:35:00,2024-11-03 04:57:00,11.59,20,22,0
201,265,147,2023-01-13 01:11:00,2023-01-13 01:55:00,1.25,30,44,1
202,266,20,2023-10-12 14:21:00,2023-10-12 14:46:00,8.26,30,25,0
203,267,371,2023-10-09 11:42:00,2023-10-09 11:55:00,8.41,35,13,0
204,268,59,2024-11-12 12:49:00,2024-11-12 13:32:00,4.24,35,43,1
205,270,46,2024-01-02 22:05:00,2024-01-02 22:22:00,6.03,25,17,0
206,272,278,2024-08-17 08:49:00,2024-08-17 09:29:00,8.2,30,40,1
207,274,530,2024-03-20 05:23:00,2024-03-20 06:12:00,10.01,25,49,1
208,276,736,2024-05-14 02:46:00,2024-05-14 03:09:00,5.37,25,23,0
209,277,185,2023-11-21 18:08:00,2023-11-21 18:57:00,8.39,30,49,1
210,278,354,2023-09-16 06:53:00,2023-09-16 07:38:00,10.22,25,45,1
211,279,534,2024-12-12 08:55:00,2024-12-12 09:41:00,2.06,35,46,1
212,281,306,2023-10-31 10:55:00,2023-10-31 11:28:00,2.27,20,33,1
213,282,367,2023-03-06 00:03:00,2023-03-06 00:29:00,1.55,25,26,0
214,283,583,2024-03-22 11:51:00,2024-03-22 12:07:00,8.61,25,16,0
215,285,580,2023-01-30 09:10:00,2023-01-30 09:53:00,6.64,30,43,1
216,286,336,2023-12-09 08:00:00,2023-12-09 08:20:00,11.88,35,20,0
217,288,678,2024-01-11 20:09:00,2024-01-11 20:53:00,9.62,25,44,1
218,289,646,2024-08-14 20:44:00,2024-08-14 21:13:00,4.42,30,29,0
219,290,29,2023-04-08 12:43:00,2023-04-08 13:25:00,5.48,20,42,1
220,291,363,2023-02-09 01:24:00,2023-02-09 02:28:00,1.17,35,64,1
221,292,591,2023-10-03 15:20:00,2023-10-03 15:56:00,6.24,35,36,0
222,294,635,2024-05-01 04:09:00,2024-05-01 04:47:00,5.08,35,38,0
223,295,737,2024-12-07 01:54:00,2024-12-07 02:33:00,9.03,25,39,1
224,296,767,2024-12-31 20:23:00,2024-12-31 21:04:00,3.71,35,41,1
225,299,743,2024-02-29 15:34:00,2024-02-29 15:51:00,2.39,20,17,0
226,300,80,2024-02-27 07:16:00,2024-02-27 08:16:00,8.71,35,60,1
227,302,64,2024-12-10 11:58:00,2024-12-10 12:36:00,2.89,25,38,1
228,303,54,2023-06-30 13:42:00,2023-06-30 14:07:00,11.95,35,25,0
229,304,303,2024-08-17 15:01:00,2024-08-17 15:33:00,6.03,20,32,1
230,305,564,2024-11-06 17:38:00,2024-11-06 17:39:00,4.43,25,1,0
231,306,165,2024-10-01 06:45:00,2024-10-01 07:18:00,8.89,35,33,0
232,307,742,2024-01-27 20:47:00,2024-01-27 21:25:00,8.41,30,38,1
233,308,655,2023-10-12 13:06:00,2023-10-12 13:46:00,8.52,30,40,1
234,309,13,2023-08-25 02:33:00,2023-08-25 03:01:00,6.61,30,28,0
235,310,397,2023-10-31 10:44:00,2023-10-31 10:51:00,7.5,35,7,0
236,311,386,2024-01-11 22:59:00,2024-01-11 23:41:00,2.0,20,42,1
237,312,289,2023-05-09 11:46:00,2023-05-09 12:24:00,1.87,30,38,1
238,313,36,2023-12-04 13:40:00,2023-12-04 14:04:00,7.5,20,24,0
239,314,19,2024-10-09 13:56:00,2024-10-09 14:22:00,5.22,30,26,0
240,315,82,2024-11-15 00:33:00,2024-11-15 00:59:00,2.08,30,26,0
241,318,596,2024-12-12 19:27:00,2024-12-12 20:13:00,9.72,25,46,1
242,319,644,2023-09-08 06:20:00,2023-09-08 07:07:00,3.72,20,47,1
243,320,152,2023-11-03 23:44:00,2023-11-04 00:16:00,7.14,30,32,0
244,322,33,2023-01-14 12:07:00,2023-01-14 12:17:00,9.7,35,10,0
245,323,262,2024-04-22 04:18:00,2024-04-22 04:50:00,9.01,35,32,0
246,325,622,2023-10-23 20:04:00,2023-10-23 20:43:00,8.37,35,39,0
247,326,622,2024-09-29 16:19:00,2024-09-29 16:55:00,4.25,30,36,1
248,327,787,2024-08-20 18:16:00,2024-08-20 18:40:00,10.67,35,24,0
249,328,137,2024-12-01 14:41:00,2024-12-01 15:02:00,1.88,25,21,0
250,330,771,2023-05-20 18:21:00,2023-05-20 19:01:00,1.05,35,40,0
251,331,528,2024-11-22 15:53:00,2024-11-22 16:25:00,8.92,25,32,1
252,332,550,2023-12-25 12:41:00,2023-12-25 13:09:00,1.85,25,28,0
253,334,356,2023-11-15 06:07:00,2023-11-15 06:51:00,5.88,30,44,1
254,335,564,2023-10-31 23:23:00,2023-11-01 00:02:00,11.71,30,39,1
255,339,668,2023-06-24 00:41:00,2023-06-24 01:07:00,2.72,25,26,0
256,340,136,2023-04-25 02:20:00,2023-04-25 02:45:00,4.59,30,25,0
257,341,335,2024-03-27 23:52:00,2024-03-28 00:33:00,6.12,35,41,1
258,342,566,2024-08-01 10:09:00,2024-08-01 11:03:00,5.27,20,54,1
259,343,647,2024-05-11 08:14:00,2024-05-11 08:45:00,5.4,25,31,1
260,344,556,2024-12-24 05:48:00,2024-12-24 06:03:00,9.59,25,15,0
261,345,632,2024-10-20 18:36:00,2024-10-20 19:23:00,6.7,25,47,1
262,346,418,2023-04-11 01:04:00,2023-04-11 01:58:00,5.74,25,54,1
263,348,720,2023-12-26 06:14:00,2023-12-26 06:34:00,4.12,20,20,0
264,349,410,2023-05-17 15:49:00,2023-05-17 16:40:00,8.5,30,51,1
265,350,543,2023-01-15 04:52:00,2023-01-15 05:15:00,4.02,20,23,0
266,352,272,2023-06-25 14:29:00,2023-06-25 15:09:00,10.3,25,40,1
267,353,55,2023-07-09 21:55:00,2023-07-09 22:35:00,10.42,25,40,1
268,354,572,2024-02-18 00:38:00,2024-02-18 01:10:00,6.46,25,32,1
269,355,713,2024-05-17 01:31:00,2024-05-17 02:29:00,5.23,25,58,1
270,357,87,2023-08-23 21:10:00,2023-08-23 21:21:00,9.84,25,11,0
271,359,635,2023-02-26 19:26:00,2023-02-26 19:52:00,10.85,30,26,0
272,360,651,2024-06-21 04:32:00,2024-06-21 05:11:00,10.74,25,39,1
273,362,757,2024-06-11 02:58:00,2024-06-11 03:45:00,10.45,35,47,1
274,363,241,2023-04-24 04:01:00,2023-04-24 04:36:00,4.3,25,35,1
275,364,366,2024-03-10 07:25:00,2024-03-10 07:41:00,3.01,20,16,0
276,366,676,2024-12-08 12:33:00,2024-12-08 13:17:00,2.86,30,44,1
277,368,55,2023-05-05 16:18:00,2023-05-05 16:51:00,10.2,20,33,1
278,369,361,2024-02-17 15:33:00,2024-02-17 16:13:00,7.01,35,40,0
279,371,514,2024-01-14 02:39:00,2024-01-14 02:59:00,2.22,30,20,0
280,372,594,2023-05-26 00:24:00,2023-05-26 01:05:00,3.55,30,41,1
281,373,676,2023-02-18 20:18:00,2023-02-18 20:43:00,1.81,35,25,0
282,374,303,2024-10-06 13:17:00,2024-10-06 13:43:00,5.53,35,26,0
283,375,757,2023-11-19 09:17:00,2023-11-19 09:28:00,7.43,30,11,0
284,376,783,2024-11-01 10:22:00,2024-11-01 10:39:00,2.09,25,17,0
285,377,639,2023-07-09 14:09:00,2023-07-09 14:41:00,7.36,35,32,0
286,379,743,2024-01-27 22:11:00,2024-01-27 22:52:00,4.63,25,41,1
287,380,284,2023-12-07 18:37:00,2023-12-07 18:52:00,11.03,30,15,0
288,381,499,2023-05-04 22:51:00,2023-05-04 23:06:00,10.45,35,15,0
289,382,21,2024-06-04 00:59:00,2024-06-04 01:27:00,3.68,20,28,1
