MENU_ITEM_ID,RESTAURANT_ID,ITEM_NAME,CATEGORY,PRICE,IS_VEG,IS_ACTIVE
1,712,Let Bowl,Beverage,95.75,1,0
2,544,Force Meal,Starter,345.58,Y,
3,229,Between Meal,Starter,569.72,0,N
4,662,Moment Bowl,Dessert,576.6,0,
5,325,Let Meal,Starter,207.44,0,0
6,44,The Meal,Beverage,308.11,1,1
7,349,True Pizza,Starter,304.54,1,N
8,511,Baby Meal,Dessert,367.32,N,N
9,39,Senior Thali,Starter,597.39,1,Y
10,302,Certain Pizza,Main,307.51,0,N
11,132,Whose Meal,Dessert,228.18,N,0
12,220,Spring Meal,Beverage,504.46,1,N
13,949,Work Bowl,Beverage,195.11,N,1
14,721,Concern Meal,Dessert,296.33,1,0
15,418,Factor Thali,Beverage,369.81,Y,N
16,299,Tree Meal,Dessert,118.72,0,N
17,415,Establish Pizza,Beverage,564.37,Y,N
18,800,Role Burger,Dessert,124.52,0,Y
19,494,Full Meal,Dessert,315.5,0,
20,284,Require Bowl,Main,581.56,0,N
21,299,Stay Pizza,Starter,242.27,N,1
22,289,Activity Thali,Starter,147.87,Y,N
23,509,Worker Bowl,Starter,413.02,Y,
24,569,Skill Bowl,Main,364.21,1,0
25,449,Card Pizza,Dessert,454.8,1,0
26,855,Soldier Thali,Dessert,491.99,0,N
27,262,Source Meal,Main,126.81,N,Y
28,327,Third Bowl,Main,,N,1
29,888,City Meal,Starter,337.93,0,1
30,241,Bit Pizza,Beverage,146.51,Y,
31,298,Care Thali,Beverage,174.44,Y,N
32,374,With Meal,Beverage,269.74,0,0
33,569,Ball Bowl,Main,,Y,N
34,61,Sort Burger,Beverage,533.15,0,
35,735,Involve Burger,Main,405.29,1,
36,415,Worry Bowl,Beverage,,1,N
37,900,College Thali,Dessert,586.37,0,1
38,452,Oil Pizza,Dessert,,Y,Y
39,386,View Thali,Main,392.43,Y,0
40,236,Choice Bowl,Beverage,474.76,Y,N
41,341,Feeling Bowl,Main,520.42,N,
42,196,Position Bowl,Main,219.53,Y,0
43,242,Provide Burger,Beverage,532.96,N,N
44,744,Three Thali,Beverage,106.09,Y,
45,570,Executive Thali,Starter,98.82,N,0
46,961,Them Burger,Main,239.02,0,N
47,124,Set Bowl,Main,552.07,0,0
48,671,New Thali,Dessert,466.06,Y,0
49,967,Do Thali,Starter,568.54,Y,Y
50,339,Dark Meal,Main,512.33,1,N
51,190,Happy Meal,Beverage,258.17,0,0
52,59,Treat Bowl,Dessert,278.43,N,
53,999,Pm Burger,Main,183.0,1,Y
54,102,Executive Bowl,Beverage,202.79,N,
55,370,There Pizza,Starter,498.36,0,Y
56,892,Trade Bowl,Main,392.77,N,N
57,322,Skin Thali,Starter,250.79,1,
58,314,Your Pizza,Dessert,253.93,Y,0
59,574,Attack Bowl,Beverage,561.4,N,
60,286,Against Bowl,Beverage,577.1,N,Y
61,785,Former Meal,Beverage,363.87,1,
62,785,Time Meal,Main,329.04,Y,1
63,553,Take Thali,Dessert,440.2,1,Y
64,809,Person Pizza,Beverage,231.34,1,N
65,142,Better Pizza,Beverage,268.4,N,1
66,63,Shoulder Pizza,Beverage,392.82,Y,1
67,468,Service Meal,Starter,245.16,1,Y
68,391,Hope Meal,Starter,494.88,1,0
69,322,In Meal,Main,295.23,1,
70,668,Trial Bowl,Beverage,416.3,1,N
71,367,Husband Meal,Starter,95.29,0,Y
72,404,Development Meal,Beverage,583.57,Y,N
73,835,Decade Bowl,Beverage,207.31,1,
74,413,Risk Bowl,Beverage,174.27,1,N
75,924,Until Meal,Beverage,200.86,0,
76,123,Build Pizza,Beverage,205.73,0,Y
77,702,Read Burger,Main,506.02,Y,N
78,407,Star Meal,Beverage,270.46,N,1
79,797,Continue Burger,Starter,242.66,Y,
80,666,Forget Thali,Beverage,254.97,N,0
81,50,You Thali,Starter,550.63,0,Y
82,940,Thank Thali,Starter,343.99,1,Y
83,253,Personal Burger,Dessert,526.42,N,
84,437,Road Thali,Main,401.88,0,0
85,193,Water Pizza,Dessert,126.53,1,Y
86,914,Too Bowl,Dessert,575.51,Y,0
87,474,View Thali,Starter,300.04,N,N
