PAYMENT_ID,ORDER_ID,PAYMENT_STATUS,PAYMENT_AT,PAYMENT_AMOUNT
1,1,SUCCESS,2024-05-12 07:51:00,3114.46
2,2,SUCCESS,2023-02-11 13:10:00,1450.28
3,3,SUCCESS,2024-05-28 22:51:00,1320.96
4,4,SUCCESS,2024-05-04 09:34:00,574.84
5,5,SUCCESS,2024-12-10 10:58:00,2509.11
6,6,SUCCESS,2024-03-23 14:13:00,2073.64
7,7,SUCCESS,2024-01-10 08:15:00,798.24
8,8,SUCCESS,2024-11-07 19:19:00,1982.96
9,9,REFUNDED,2024-06-29 13:15:00,2354.28
10,10,SUCCESS,2024-12-30 06:22:00,471.17
11,11,SUCCESS,2023-11-20 07:12:00,835.53
12,12,SUCCESS,2023-06-25 04:48:00,2869.02
13,13,SUCCESS,2023-03-15 06:10:00,540.82
14,14,SUCCESS,2023-08-24 04:01:00,220.0
15,15,SUCCESS,2024-06-01 14:32:00,1161.58
16,16,SUCCESS,2024-06-09 17:26:00,3018.64
17,17,REFUNDED,2024-12-17 17:34:00,887.76
18,18,SUCCESS,2023-10-14 04:08:00,2832.92
19,19,SUCCESS,2023-01-02 07:29:00,1199.35
20,20,SUCCESS,2024-07-29 08:52:00,3625.41
21,21,SUCCESS,2023-09-15 12:51:00,1840.85
22,22,SUCCESS,2024-02-16 08:37:00,1355.77
23,23,SUCCESS,2023-05-08 07:53:00,1148.5
24,24,SUCCESS,2023-08-03 14:09:00,1707.67
25,25,SUCCESS,2024-11-29 13:23:00,2096.92
26,26,SUCCESS,2024-02-07 01:48:00,1519.85
27,27,SUCCESS,2023-04-15 01:01:00,2332.94
28,28,SUCCESS,2023-03-25 20:42:00,2829.62
29,29,SUCCESS,2023-10-18 00:33:00,2458.39
30,30,REFUNDED,2024-12-06 16:20:00,1710.59
31,31,SUCCESS,2024-04-12 12:45:00,321.64
32,32,SUCCESS,2024-11-03 11:26:00,2320.92
33,33,FAILED,2023-08-06 15:58:00,1029.34
34,34,SUCCESS,2024-03-12 19:47:00,1065.39
35,35,SUCCESS,2024-12-16 15:08:00,3696.26
36,36,REFUNDED,2023-03-29 01:59:00,3594.69
37,37,SUCCESS,2024-04-10 21:09:00,116.28
38,38,SUCCESS,2024-10-25 10:27:00,2141.24
39,39,SUCCESS,2023-05-25 08:12:00,392.86
40,40,SUCCESS,2024-11-01 22:35:00,3609.24
41,41,SUCCESS,2023-03-09 22:07:00,3001.36
42,42,FAILED,2023-09-13 07:03:00,1484.47
43,43,SUCCESS,2023-09-02 03:54:00,3738.89
44,44,REFUNDED,2024-08-22 20:38:00,1929.07
45,45,FAILED,2024-07-02 20:50:00,1694.24
46,46,SUCCESS,2023-07-07 19:50:00,1594.62
47,47,REFUNDED,2023-12-05 09:40:00,1551.43
48,48,SUCCESS,2023-12-26 22:20:00,1005.44
49,49,REFUNDED,2023-05-07 02:14:00,1281.86
50,50,FAILED,2024-05-28 19:51:00,4397.26
51,51,FAILED,2023-04-29 15:02:00,3774.4
52,52,SUCCESS,2023-06-16 16:56:00,3628.59
53,53,SUCCESS,2024-02-23 14:03:00,2162.02
54,54,SUCCESS,2024-07-13 16:14:00,625.06
55,55,SUCCESS,2024-11-20 01:28:00,4026.96
56,56,SUCCESS,2024-03-29 08:49:00,707.35
57,57,SUCCESS,2024-02-27 17:35:00,2429.55
58,58,SUCCESS,2023-11-11 19:18:00,1994.53
59,59,SUCCESS,2023-01-21 16:12:00,809.71
60,60,SUCCESS,2024-01-12 03:07:00,3116.35
61,61,SUCCESS,2024-02-26 02:32:00,3374.27
62,62,SUCCESS,2024-06-06 09:00:00,239.62
63,63,SUCCESS,2023-04-20 11:23:00,1045.58
64,64,FAILED,2024-04-23 15:29:00,327.79
65,65,FAILED,2024-11-30 07:19:00,2880.85
66,66,SUCCESS,2023-03-25 21:29:00,902.38
67,67,SUCCESS,2024-05-20 21:49:00,622.54
68,68,SUCCESS,2024-10-25 22:43:00,1945.04
69,69,SUCCESS,2024-03-31 05:50:00,3158.77
70,70,SUCCESS,2024-08-23 17:07:00,3984.49
71,71,FAILED,2023-05-07 16:23:00,2619.82
72,72,SUCCESS,2024-10-28 23:02:00,328.88
73,73,SUCCESS,2024-01-24 11:27:00,532.26
74,74,SUCCESS,2024-03-05 23:35:00,3218.05
75,75,REFUNDED,2024-12-07 18:20:00,248.15
76,76,SUCCESS,2024-08-06 22:28:00,2333.43
77,77,SUCCESS,2024-02-21 05:56:00,3511.52
78,78,SUCCESS,2023-09-01 04:43:00,194.13
79,79,SUCCESS,2023-09-24 09:19:00,1252.17
80,80,SUCCESS,2023-06-04 14:01:00,2171.93
81,81,REFUNDED,2024-12-19 03:57:00,787.09
82,82,REFUNDED,2024-08-16 03:49:00,3708.74
83,83,SUCCESS,2024-04-08 13:19:00,672.14
84,84,SUCCESS,2024-10-30 14:15:00,1576.98
85,85,SUCCESS,2023-04-11 20:27:00,1078.57
86,86,SUCCESS,2024-07-24 19:04:00,1245.38
87,87,SUCCESS,2024-09-04 10:03:00,885.43
88,88,SUCCESS,2024-02-28 12:09:00,2839.39
89,89,FAILED,2023-04-21 09:59:00,288.05
90,90,SUCCESS,2024-06-06 23:11:00,1546.42
91,91,SUCCESS,2024-11-03 09:33:00,729.38
92,92,SUCCESS,2023-06-27 03:15:00,3176.96
93,93,SUCCESS,2023-08-05 04:02:00,1222.92
94,94,SUCCESS,2023-11-12 13:12:00,1670.55
95,95,SUCCESS,2024-05-28 05:58:00,438.28
96,96,SUCCESS,2024-12-19 00:20:00,2171.36
97,97,REFUNDED,2023-09-15 11:22:00,1490.88
98,98,SUCCESS,2023-11-02 18:09:00,3282.48
99,99,SUCCESS,2023-09-15 12:34:00,3545.05
100,100,REFUNDED,2024-06-10 13:17:00,1672.95
101,101,SUCCESS,2024-09-23 03:54:00,1781.02
102,102,SUCCESS,2024-02-22 01:30:00,1454.86
103,103,SUCCESS,2024-01-31 01:09:00,4675.05
104,104,SUCCESS,2023-04-20 15:06:00,196.95
105,105,SUCCESS,2023-06-29 06:54:00,1550.2
