RESTAURANT_ID,RESTAURANT_NAME,CUISINE_PRIMARY,CUISINE_SECONDARY,CITY,AREA,LAT,LNG,AVG_RATING,COMMISSION_RATE,IS_ACTIVE,ONBOARDED_AT
1,Reed-Stafford,Healthy,Healthy,Hyderabad,West,-81.2881455,107.294267,3.68,0.194,FALSE,2023-08-06 23:47:00
2,Garcia LLC,Italian,North Indian,Mumbai,North,40.290852,112.206168,4.79,0.207,Y,2023-06-03 16:43:00
3,Smith-Byrd,Healthy,Healthy,Pune,South,-53.2713765,17.999848,4.51,0.239,FALSE,2023-09-28 11:25:00
4,Boyd Inc,Fast Food,Chinese,Hyderabad,West,36.584732,-39.172356,3.8,0.245,N,2024-03-29 02:40:00
5,Griffin-Macdonald,South Indian,Chinese,Delhi,East,-15.337082,19.692508,3.64,0.286,TRUE,2023-11-24 22:06:00
6,Gardner-Chavez,Healthy,Chinese,Bengaluru,North,-35.190956,69.561455,4.29,0.216,1,2023-06-23 20:29:00
7,Gray-Cantrell,Healthy,Bakery,Chennai,West,16.296153,-28.920697,3.01,0.242,TRUE,2023-11-19 07:44:00
8,Townsend-Hall,South Indian,Italian,Chennai,South,38.020445,-11.309226,4.12,0.192,1,2023-02-03 16:27:00
9,"Berry, Thornton and Reeves",South Indian,Bakery,Hyderabad,West,-45.372773,-160.110177,3.01,0.206,0,2024-02-17 19:48:00
10,Young-Wolf,Italian,Fast Food,Mumbai,East,68.4041295,-126.755085,3.34,0.195,0,2024-06-21 01:27:00
11,Crawford LLC,Italian,South Indian,Chennai,East,-14.683765,49.187157,4.65,0.181,1,2023-10-09 02:58:00
12,Lopez-Willis,South Indian,Healthy,Delhi,South,-38.6098355,134.055819,3.0,0.276,0,2023-11-18 03:31:00
13,"Carlson, Casey and Levine",Chinese,Fast Food,Bengaluru,North,54.319730,-1.603970,4.44,0.28,N,2024-04-07 21:33:00
14,Hanson Group,Italian,Italian,Hyderabad,South,-6.0045125,-112.653585,3.78,0.247,Y,2023-09-30 23:36:00
15,"Jones, Price and Kaufman",South Indian,Healthy,Pune,North,-71.5980105,-138.206017,4.55,0.286,0,2023-07-21 19:28:00
16,Reynolds-Thomas,South Indian,Healthy,Hyderabad,Central,46.316626,54.361403,3.85,0.256,,2024-08-12 09:40:00
17,"Williams, Smith and Pearson",Bakery,Italian,Bengaluru,East,34.787760,84.407509,3.1,0.157,0,2024-06-30 03:45:00
18,Trevino-Lynch,Chinese,Fast Food,Chennai,South,29.138248,-3.707448,4.57,0.239,N,2024-04-17 16:14:00
19,"Burgess, Velazquez and Stevens",South Indian,Healthy,Hyderabad,Central,33.7252505,-144.855302,4.14,0.214,0,2023-09-27 08:35:00
20,Foster-Lucero,Chinese,Chinese,Mumbai,East,-43.7787105,-148.082338,4.6,0.229,TRUE,2023-08-04 11:39:00
21,Kim LLC,Healthy,Healthy,Bengaluru,North,31.746913,81.202145,4.7,0.211,TRUE,2023-07-10 15:57:00
